Lon	Lat
-50.35149655	-27.19993498
-49.99093661	-27.41386379
-50.05652079	-26.84196813
-50.28773198	-27.23757575
-49.94217144	-27.56593287
-49.96744733	-27.02255546
-49.95709958	-27.36240293
-49.84333624	-27.48905945
-50.03973473	-27.19808881
-50.58069089	-27.03353242
-50.5509746	-27.42925878
-50.18254056	-27.59186781
-49.81934878	-27.00020544
-49.80906604	-27.37170302
-49.81698417	-27.35146575
-50.10665374	-27.23309934
-50.22727758	-27.16478278
-49.84573068	-27.53247954
-50.4096696	-27.50047773
-50.33637151	-27.18461463
-49.97653157	-26.98438468
-50.47652219	-26.88177057
-50.23090733	-27.01122107
-50.45937352	-27.09519523
-50.4243655	-27.28147364
-50.54245656	-27.37779007
-50.19454713	-27.56979183
-49.90540078	-27.34300173
-50.53356006	-27.49452538
-50.44750668	-27.07170358
